Combined_Key,Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case_Fatality_Ratio
Afghanistan,Afghanistan,37345,1354,26694,9297.0,95.93267794278722,3.6256526978176464
Albania,Albania,6817,208,3552,3057.0,236.882340676906,3.0511955405603635
Algeria,Algeria,36699,1333,25627,9739.0,83.69014164611774,3.6322515599880094
Andorra,Andorra,977,53,855,69.0,1264.4793891153822,5.424769703172978
Angola,Angola,1762,80,577,1105.0,5.361119796138704,4.540295119182747
Antigua and Barbuda,Antigua and Barbuda,92,3,76,13.0,93.94657299240258,3.260869565217391
Argentina,Argentina,268574,5213,187283,76078.0,594.2457853971622,1.9409920543313948
Armenia,Armenia,40794,806,33492,6496.0,1376.6715689682287,1.975780752071383
"Australian Capital Territory, Australia",Australia,113,3,110,0.0,26.395701938799345,2.6548672566371683
"New South Wales, Australia",Australia,3927,51,2994,882.0,48.3739837398374,1.2987012987012987
"Northern Territory, Australia",Australia,33,0,31,2.0,13.436482084690551,0.0
"Queensland, Australia",Australia,1089,6,1076,7.0,21.28824161861011,0.5509641873278237
"South Australia, Australia",Australia,459,4,449,6.0,26.131511528608023,0.8714596949891068
"Tasmania, Australia",Australia,230,13,216,1.0,42.95051353874883,5.652173913043479
"Victoria, Australia",Australia,15863,275,7271,8317.0,239.26454395993903,1.73359389774948
"Western Australia, Australia",Australia,644,9,632,3.0,24.481106971793512,1.3975155279503106
Austria,Austria,22439,724,20268,1447.0,249.1450524071772,3.2265252462230936
Azerbaijan,Azerbaijan,33824,497,31058,2269.0,333.5971615047576,1.4693708609271523
Bahamas,Bahamas,1036,15,122,899.0,263.44698510863367,1.4478764478764483
Bahrain,Bahrain,45264,166,41836,3262.0,2660.111202333357,0.3667373630258042
Bangladesh,Bangladesh,266498,3513,153089,109896.0,161.81856726004008,1.318208767045156
Barbados,Barbados,144,7,115,22.0,50.10944040978386,4.861111111111111
Belarus,Belarus,69102,595,65893,2614.0,731.2906398248085,0.8610459899858179
Belgium,Belgium,75647,9900,17883,47864.0,652.7136015550473,13.087101933982842
Belize,Belize,210,2,32,176.0,52.8141119307079,0.9523809523809524
Benin,Benin,2014,38,1681,295.0,16.612778245476154,1.8867924528301887
Bhutan,Bhutan,113,0,97,16.0,14.644665972017028,0.0
Bolivia,Bolivia,95071,3827,32830,58414.0,814.4501311527624,4.025412586382808
Bosnia and Herzegovina,Bosnia and Herzegovina,14961,453,8827,5681.0,456.01474023984895,3.0278724684178866
Botswana,Botswana,1066,2,80,984.0,45.33035666826131,0.18761726078799248
"Acre, Brazil",Brazil,21993,569,15307,6117.0,2493.7211926048967,2.5871868321738734
"Alagoas, Brazil",Brazil,69751,1711,63287,4753.0,2090.0071523663787,2.45301142635948
"Amapa, Brazil",Brazil,38801,606,26773,11422.0,4587.865408741077,1.5618154171284244
"Amazonas, Brazil",Brazil,108920,3417,92335,13168.0,2627.9997789893687,3.1371648916636063
"Bahia, Brazil",Brazil,203020,4135,184444,14441.0,1365.0179949471071,2.036745148261255
"Ceara, Brazil",Brazil,192422,8052,164954,19416.0,2107.0998298525265,4.184552701874006
"Distrito Federal, Brazil",Brazil,129184,1870,110632,16682.0,4284.328955170818,1.4475476839237058
"Espirito Santo, Brazil",Brazil,95753,2805,81923,11025.0,2382.7155885683005,2.9294121333013066
"Goias, Brazil",Brazil,93274,2135,85214,5925.0,1329.0010734710734,2.2889551214700776
"Maranhao, Brazil",Brazil,133265,3215,123772,6278.0,1883.5560531949645,2.4124863992796306
"Mato Grosso, Brazil",Brazil,68924,2221,46355,20348.0,1978.0362328115696,3.2223898787069816
"Mato Grosso do Sul, Brazil",Brazil,33509,558,27329,5622.0,1205.7995254384152,1.6652242681070757
"Minas Gerais, Brazil",Brazil,160485,3783,128957,27745.0,758.1207637224063,2.35722964763062
"Para, Brazil",Brazil,171878,5909,157802,8167.0,1997.9158106049554,3.43790362931847
"Paraiba, Brazil",Brazil,92897,2071,47111,43715.0,2311.9478304194963,2.2293507863547797
"Parana, Brazil",Brazil,97785,2516,58064,37205.0,855.2157402725933,2.5729917676535257
"Pernambuco, Brazil",Brazil,107375,7049,88252,12074.0,1123.5136790340891,6.564842840512223
"Piaui, Brazil",Brazil,62465,1548,61433,-516.0,1908.361381596816,2.4781877851596894
"Rio Grande do Norte, Brazil",Brazil,56572,2019,28243,26310.0,1613.184242396245,3.5689033444106624
"Rio Grande do Sul, Brazil",Brazil,90049,2540,79763,7746.0,791.4837686015035,2.820686515119547
"Rio de Janeiro, Brazil",Brazil,185610,14295,165894,5421.0,1075.0687100443943,7.701632455147891
"Rondonia, Brazil",Brazil,46061,981,38312,6768.0,2591.737118260209,2.129784416317492
"Roraima, Brazil",Brazil,37579,555,9125,27899.0,6203.601750525372,1.4768886878309695
"Santa Catarina, Brazil",Brazil,112401,1637,99781,10983.0,1568.797290303635,1.4563927367194245
"Sao Paulo, Brazil",Brazil,655181,25869,453612,175700.0,1426.8174412758415,3.948374571301671
"Sergipe, Brazil",Brazil,65865,1653,47709,16503.0,2865.3201641278365,2.509678888635846
"Tocantins, Brazil",Brazil,33766,482,19845,13439.0,2146.7817347440914,1.4274714209559909
Brunei,Brunei,142,3,138,1.0,32.45840409798781,2.112676056338028
Bulgaria,Bulgaria,13893,482,8479,4932.0,199.9440162511181,3.4693730655725905
Burkina Faso,Burkina Faso,1213,54,995,164.0,5.802917609381647,4.451772464962902
Burma,Burma,361,6,318,37.0,0.6634834897555393,1.6620498614958448
Burundi,Burundi,409,1,315,93.0,3.439639498868914,0.2444987775061125
Cabo Verde,Cabo Verde,3000,33,2172,795.0,539.5799909350561,1.1
Cambodia,Cambodia,272,0,223,49.0,1.6268943824353783,0.0
Cameroon,Cameroon,18263,401,15320,2542.0,68.79791141851703,2.195696216393802
"Alberta, Canada",Canada,11893,217,10632,1044.0,269.49029105313986,1.824602707474985
"British Columbia, Canada",Canada,4111,195,3444,472.0,80.43566350226386,4.7433714424714175
